City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Trelew,AR,64.47,overcast clouds,-43.249,-65.3051,Hotel Touring Club
607,Atambua,ID,72.45,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
611,Havelock,US,63.99,clear sky,34.8791,-76.9013,Sherwood Motel
613,Haflong,IN,67.51,broken clouds,25.1833,93.0333,Ngahsy te in
614,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
618,San Luis,AR,69.39,scattered clouds,-33.295,-66.3356,Huarpes Hotel
621,Vredendal,ZA,72.81,clear sky,-31.6683,18.5012,Tharrakamma Guest House
623,Ismailia,EG,61.66,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
624,Aguimes,ES,65.66,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
626,Marsaxlokk,MT,61.54,broken clouds,35.8419,14.5431,Water's Edge
628,Mweka,CD,70.11,light rain,-4.85,21.5667,Guest House Boshab
638,Abha,SA,67.82,clear sky,18.2164,42.5053,Abha Hotel
641,Alghero,IT,66.29,clear sky,40.5589,8.3181,Smy Carlos V Alghero
652,Port Said,EG,62.58,few clouds,31.2565,32.2841,Aracan Hotel
654,Mananjary,MG,74.5,light rain,-21.2167,48.3333,Vahiny Lodge
657,Kaabong,UG,68.85,overcast clouds,3.4836,34.1492,Rock Motel Ltd
660,Basoko,CD,73.13,overcast clouds,1.2391,23.616,Jackyna Hotel
669,Hoa Binh,VN,67.82,clear sky,20.8133,105.3383,Hoa Dao Hotel
