City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
54,Kruisfontein,ZA,-34.0033,24.7314,67.89,40,80,3.44,broken clouds,4/20/2022 18:42
55,Puerto Leguizamo,CO,-0.1934,-74.7819,78.98,90,96,2.51,overcast clouds,4/20/2022 18:42
56,Rikitea,PF,-23.1203,-134.9692,78.42,71,2,19.06,clear sky,4/20/2022 18:42
57,Puerto Ayora,EC,-0.7393,-90.3518,78.76,80,100,8.84,overcast clouds,4/20/2022 18:42
58,Ballina,AU,-28.8667,153.5667,64.36,94,75,3.44,broken clouds,4/20/2022 18:42
59,Itupiranga,BR,-5.1347,-49.3267,86.32,87,100,2.75,overcast clouds,4/20/2022 18:42
60,Yellowknife,CA,62.456,-114.3525,30.72,31,0,6.91,clear sky,4/20/2022 18:38
61,Shizunai,JP,42.3339,142.3669,43.66,59,0,5.32,clear sky,4/20/2022 18:42
62,Barrow,US,71.2906,-156.7887,-0.38,78,0,12.66,clear sky,4/20/2022 18:40
63,Nome,US,64.5011,-165.4064,30.16,74,0,0,clear sky,4/20/2022 18:42
64,Alice Springs,AU,-23.7,133.8833,49.55,57,85,4.61,overcast clouds,4/20/2022 18:41
65,Bonavista,CA,48.6499,-53.1147,39.24,86,100,29.3,overcast clouds,4/20/2022 18:42
66,Saskylakh,RU,71.9167,114.0833,-2.33,100,100,3.67,overcast clouds,4/20/2022 18:40
67,New Norfolk,AU,-42.7826,147.0587,49.5,63,6,3,clear sky,4/20/2022 18:40
68,Sept-Iles,CA,50.2001,-66.3821,39.72,86,75,13.8,broken clouds,4/20/2022 18:41
69,Upernavik,GL,72.7868,-56.1549,2.84,69,16,5.28,few clouds,4/20/2022 18:42
70,Tanete,ID,-3.9443,119.7848,74.1,94,69,1.81,moderate rain,4/20/2022 18:42
71,Yerbogachen,RU,61.2767,108.0108,11.43,96,33,3.33,scattered clouds,4/20/2022 18:42
72,Hit,IQ,33.6416,42.8251,72.01,21,4,13.31,clear sky,4/20/2022 18:42
73,Senftenberg,DE,51.5167,14.0167,47.17,89,100,6.35,overcast clouds,4/20/2022 18:42
74,Bubaque,GW,11.2833,-15.8333,76.42,76,100,16.96,overcast clouds,4/20/2022 18:42
75,Ribeira Grande,PT,38.5167,-28.7,63,67,75,3.44,broken clouds,4/20/2022 18:42
76,Mataura,NZ,-46.1927,168.8643,56.48,100,100,2.82,moderate rain,4/20/2022 18:40
77,Aklavik,CA,68.2191,-135.0107,12.2,92,20,4.61,few clouds,4/20/2022 18:40
78,Baley,RU,51.6,116.6333,27.39,48,72,4.74,broken clouds,4/20/2022 18:42
